id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:banker_algorithm---feature:V_VAL_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:M_VAL_1,21.71440710428357,31.870101928710938,21.37209129333496,138.84610843250525,11.783297858940223,21.37209129333496,0.0,13.204843044281006,21.37209129333496,29.82623863220215,49.61759941101075,64.18826293945312
total of function:banker_algorithm---feature:M_VAL_2,32.69617072367994,0.0,25.963613510131836,847.3962971873931,29.110072091758774,25.963613510131836,0.0,3.437950015068054,25.963613510131836,61.57835578918457,90.26580078125,107.5736846923828
total of function:banker_algorithm---feature:M_VAL_3,10.461197466099636,0.0,7.6468493938446045,88.8720898788813,9.427199471681996,7.6468493938446045,0.0,2.4126129150390625,7.6468493938446045,16.543697834014893,38.07245193481445,53.87624740600586
total of function:banker_algorithm---feature:M_VAL_4,8.774780474630184,0.0,0.5696362257003784,141.47763578010847,11.894437177946187,0.5696362257003784,0.0,0.0,0.5696362257003784,16.22267484664917,43.74515342712402,60.66839599609375
total of function:banker_algorithm---feature:M_VAL_5,10.36154438115377,0.0,0.0,297.3542198356399,17.2439618369921,0.0,0.0,0.0,0.0,21.01903200149536,57.12276210784912,79.06515502929688
total of function:banker_algorithm---feature:M_VAL_6,31.46815454779938,0.0,35.50453567504883,588.4893521530039,24.258799478807767,35.50453567504883,0.0,5.491455316543579,35.50453567504883,52.216468811035156,78.38763168334961,87.82243347167969
total of function:banker_algorithm---feature:M_VAL_7,0.16885236574197188,0.0,0.0,0.2730312041455106,0.5225238790194288,0.0,0.0,0.0,0.0,0.0,2.6658618354797357,5.444915771484375
total of function:banker_algorithm---feature:M_VAL_8,4.300348760727793,0.0,0.8640927374362946,36.0227465656379,6.001895247806138,0.8640927374362946,0.0,0.0,0.8640927374362946,7.29356849193573,23.536692981719966,37.27964782714844
total of function:banker_algorithm---feature:M_VAL_9,16.80921234974265,0.0,17.294001579284668,155.55988363396682,12.47236479718128,17.294001579284668,0.0,4.8937766551971436,17.294001579284668,25.186437606811523,45.898385505676266,58.50380325317383
total of function:banker_algorithm---feature:M_VAL_10,19.666291997127875,0.0,1.096953272819519,647.5348180824282,25.446705446529382,1.096953272819519,0.0,0.0,1.096953272819519,46.32777214050293,74.94052124023438,89.11888885498047
